i	j	cor	p
cor	A	A3	0.363991078675099	0.00105314753211852
cor1	A	B	0.55541586356297	1.30675730231236e-07
cor2	A	C	0.276163701005411	0.0143878100411936
cor3	A	C3	0.481646683572972	8.02829710808365e-06
cor4	A	D	0.463121811127858	1.95831771957412e-05
cor5	A	D3	0.612236991748646	2.58319870511475e-09
cor6	A	E	0.480505339116745	8.49450809009716e-06
cor7	A	E3	0.48452066066863	6.9583020416629e-06
cor8	A	F	0.342732228003491	0.00212867940060445
cor9	A	F3	0.451528778797025	3.33477993847485e-05
cor10	A	G	0.25828748089396	0.0224189270411676
cor11	A	H	0.624111973944108	1.02833606067377e-09
cor12	A	H3	0.374824825816341	0.000722022238838119
cor13	A	I	0.518188057652711	1.1783698578922e-06
cor14	A	I3	0.895349864557414	2.03729402460438e-28
cor15	A	J	0.410065532034576	0.00019260949101148
cor16	A	K	0.366773761943572	0.00095701733314163
cor17	A	L	0.606039807824297	4.11535889409101e-09
cor18	A	M	0.542639650209428	2.86418271321745e-07
cor19	A	N	0.372270133368365	0.000790168702172739
cor20	A	T	0.392600288456341	0.000377619628221733
cor21	A	U	0.416908275708572	0.00014644939023504
cor22	A3	B	0.454517205581947	2.91253620560388e-05
cor23	A3	C	0.236473384831391	0.0371219930294377
cor24	A3	C3	0.309860112045008	0.00576730323177478
cor25	A3	D	0.236951850387359	0.036729190373229
cor26	A3	D3	0.249429026827556	0.0276465307825971
cor27	A3	E	0.505386270482318	2.36728000779486e-06
cor28	A3	E3	0.352726178501787	0.00153828838076045
cor29	A3	F	0.325226387571833	0.00366812543756654
cor30	A3	F3	0.244239773280803	0.0311624302891076
cor31	A3	G	0.362378020107959	0.00111280069352017
cor32	A3	H	0.610047558783776	3.04866738910665e-09
cor33	A3	H3	0.382209995033816	0.000554008615169589
cor34	A3	I	0.416665112323815	0.000147897154606428
cor35	A3	I3	0.407366972886872	0.000214243043314898
cor36	A3	J	0.126805891894932	0.268591901501131
cor37	A3	K	0.210511865409141	0.0643189120360793
cor38	A3	L	0.478793459704351	9.24151851710057e-06
cor39	A3	M	0.236390352322375	0.0371905153274741
cor40	A3	N	0.255209749200003	0.0241305879869379
cor41	A3	T	0.522885248447051	9.05701301359108e-07
cor42	A3	U	0.414747057864312	0.00015978841680099
cor43	B	C	0.425751991151308	0.000101877834719137
cor44	B	C3	0.402199833269922	0.000262023641116672
cor45	B	D	0.53017250749217	5.9735257867122e-07
cor46	B	D3	0.236017160015425	0.0374997954280202
cor47	B	E	0.580487071898859	2.53710205289369e-08
cor48	B	E3	0.442231994258226	5.04091333409349e-05
cor49	B	F	0.407754010695187	0.000211008709070365
cor50	B	F3	0.22825410067757	0.0444357747078608
cor51	B	G	0.500356379232702	3.09003075850682e-06
cor52	B	H	0.633443890585697	4.8499906068698e-10
cor53	B	H3	0.457339328935136	2.56000920930748e-05
cor54	B	I	0.55541586356297	1.30675730231236e-07
cor55	B	I3	0.543445497945058	2.72847886153545e-07
cor56	B	J	0.323748103044016	0.00383519992215629
cor57	B	K	0.473997049162101	1.16752163497776e-05
cor58	B	L	0.606893431405392	3.86195152452603e-09
cor59	B	M	0.535519763512328	4.37402029505489e-07
cor60	B	N	0.281176011314243	0.0126413298668149
cor61	B	T	0.598115254004952	7.35859612298554e-09
cor62	B	U	0.549596267757279	1.87582704413541e-07
cor63	C	C3	0.261892463308249	0.0205466176110688
cor64	C	D	0.40291148201269	0.00025490750803194
cor65	C	D3	0.140442251384781	0.220042254042197
cor66	C	E	0.382898421645613	0.00054032560944516
cor67	C	E3	0.350258319727074	0.00166839121436061
